name,gender,email,phone,cpf,birth
fernando,other,test@test.com,11999556677,15335851724,19/07/1986
ceu,female,test@test.com,11999556677,14514479730,26/08/1985
helen,female,helen@helen.net,11999556677,06844531931,30/01/1900
lua,female,email@test.com,11999556677,15335851724,22/12/2011
fernanda,outro,test@test.com,11999395543,06844531931,25/04/1939
carlota,female,test@test.com,11999556677,15335851724,13/04/1500
ceu,female,email@test.com,11999556677,15335851724,24/09/2000
fernanda,outro,fe@test.test,11982327567,14514479730,23/07/2018
antonio,male,tunico@test.com,11999395543,15335851724,24/08/2022
larissa,queer,test@test.com,11999395543,08817435937,22/12/2021
